,sample_id,year,qc_pass,study_id,region,country,country_id,site,site_id,ARTresistant,CQresistant,MQresistant,PPQresistant,PYRresistant,SDXresistant
2446,PF0206-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,sensitive,resistant
2401,PF0150-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,resistant,sensitive,sensitive,resistant,resistant
2561,PF0354-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2437,PF0195-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,undetermined,sensitive,sensitive,resistant,resistant
2472,PF0240-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2537,PF0329-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2501,PF0276-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,resistant,sensitive,sensitive,resistant,resistant
2407,PF0156-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,sensitive,resistant
2506,PF0281-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,undetermined,sensitive,sensitive,resistant,resistant
2524,PF0308-C,2010,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
2665,PF0482-C,2011,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,resistant,sensitive,sensitive,resistant,resistant
188,PA0140-C,2011,True,1026,,Guinea,GN,Nzerekore,Nzerekore,sensitive,sensitive,sensitive,sensitive,resistant,resistant
221,PA0173-C,2011,True,1026,,Guinea,GN,Nzerekore,Nzerekore,sensitive,resistant,sensitive,sensitive,resistant,sensitive
2649,PF0458-C,2011,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
288,PA0240-C,2011,True,1026,,Guinea,GN,Nzerekore,Nzerekore,sensitive,resistant,sensitive,sensitive,resistant,resistant
275,PA0227-C,2011,True,1026,,Guinea,GN,Nzerekore,Nzerekore,sensitive,resistant,sensitive,sensitive,undetermined,resistant
2597,PF0396-C,2011,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,undetermined,undetermined
291,PA0243-C,2011,True,1026,,Guinea,GN,Nzerekore,Nzerekore,sensitive,resistant,sensitive,sensitive,resistant,resistant
2664,PF0480-C,2011,True,1017,,Ghana,GH,Upper East,Upper East,sensitive,sensitive,sensitive,sensitive,resistant,resistant
343,PA0306-CW,2011,True,1026,,Guinea,GN,Faranah,Faranah,sensitive,resistant,undetermined,undetermined,resistant,undetermined
